X,Y,UX,UY
2.400000000000000000e+01,3.600000000000000000e+01,2.058150929411486484e-03,-4.873676681213296585e-02
2.800000000000000000e+01,3.600000000000000000e+01,3.101365088224661108e-03,-5.481724981178268119e-02
3.200000000000000000e+01,3.600000000000000000e+01,4.095013582628937929e-03,-6.006639366884273384e-02
3.600000000000000000e+01,3.600000000000000000e+01,4.964295428558036793e-03,-6.454252992413951617e-02
4.000000000000000000e+01,3.600000000000000000e+01,5.670351817511532118e-03,-6.834671611968397287e-02
4.400000000000000000e+01,3.600000000000000000e+01,6.204392141425037026e-03,-7.159006431460693265e-02
4.800000000000000000e+01,3.600000000000000000e+01,6.577620230589757526e-03,-7.437625389902478845e-02
5.200000000000000000e+01,3.600000000000000000e+01,6.812033799817722793e-03,-7.679499416796717326e-02
5.600000000000000000e+01,3.600000000000000000e+01,6.933720952958172430e-03,-7.892129756629577553e-02
6.000000000000000000e+01,3.600000000000000000e+01,6.968593776382050152e-03,-8.081718716084489162e-02
6.400000000000000000e+01,3.600000000000000000e+01,6.939963064226948794e-03,-8.253408678955477529e-02
6.800000000000000000e+01,3.600000000000000000e+01,6.867333052459215562e-03,-8.411514312877274580e-02
7.200000000000000000e+01,3.600000000000000000e+01,6.765931630886654752e-03,-8.559724608605089047e-02
7.600000000000000000e+01,3.600000000000000000e+01,6.646642949258267825e-03,-8.701275010816124367e-02
8.000000000000000000e+01,3.600000000000000000e+01,6.516128322762986848e-03,-8.839099547463637185e-02
8.400000000000000000e+01,3.600000000000000000e+01,6.377000328263287068e-03,-8.975976528183932102e-02
8.800000000000000000e+01,3.600000000000000000e+01,6.227958292149921027e-03,-9.114682935469685388e-02
9.200000000000000000e+01,3.600000000000000000e+01,6.063806249622926206e-03,-9.258173324359415812e-02
9.600000000000000000e+01,3.600000000000000000e+01,5.875260689164278800e-03,-9.409798024046972520e-02
1.000000000000000000e+02,3.600000000000000000e+01,5.648421347152034373e-03,-9.573569319094138441e-02
0.000000000000000000e+00,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,4.000000000000000000e+01,-5.309225408535847611e-04,-9.533308782345978685e-03
8.000000000000000000e+00,4.000000000000000000e+01,-5.887381542241207789e-04,-1.885319897923387958e-02
1.200000000000000000e+01,4.000000000000000000e+01,-2.121059483082261105e-04,-2.784502556556741823e-02
1.600000000000000000e+01,4.000000000000000000e+01,5.521751916970689357e-04,-3.635581940337175022e-02
2.000000000000000000e+01,4.000000000000000000e+01,1.632866998092907113e-03,-4.421031495814033152e-02
2.400000000000000000e+01,4.000000000000000000e+01,2.924150507656494459e-03,-5.123707194962204281e-02
2.800000000000000000e+01,4.000000000000000000e+01,4.273828276937307637e-03,-5.728030439684643482e-02
3.200000000000000000e+01,4.000000000000000000e+01,5.535199505303619455e-03,-6.234060108163630431e-02
3.600000000000000000e+01,4.000000000000000000e+01,6.611277105829494079e-03,-6.653470797012422944e-02
4.000000000000000000e+01,4.000000000000000000e+01,7.460495363200154995e-03,-7.001951623350462228e-02
4.400000000000000000e+01,4.000000000000000000e+01,8.082373012290800657e-03,-7.294565916266192163e-02
4.800000000000000000e+01,4.000000000000000000e+01,8.500309529926076274e-03,-7.543979066501931008e-02
5.200000000000000000e+01,4.000000000000000000e+01,8.748326370886577372e-03,-7.760225567883476117e-02
5.600000000000000000e+01,4.000000000000000000e+01,8.862657912146030062e-03,-7.951075766988489890e-02
6.000000000000000000e+01,4.000000000000000000e+01,8.877101294818142210e-03,-8.122537783969849268e-02
6.400000000000000000e+01,4.000000000000000000e+01,8.820797418496600234e-03,-8.279313452412084828e-02
6.800000000000000000e+01,4.000000000000000000e+01,8.717414129880515783e-03,-8.425160879279725012e-02
7.200000000000000000e+01,4.000000000000000000e+01,8.585055283567998366e-03,-8.563169267959128139e-02
7.600000000000000000e+01,4.000000000000000000e+01,8.436488472505061786e-03,-8.695967932276585377e-02
8.000000000000000000e+01,4.000000000000000000e+01,8.279457632579595092e-03,-8.825893348874103150e-02
