X,Y,UX,UY,LOAD,BOUNDARY
5.000000000000000000e-01,1.600000000000000033e-01,8.643969936951994767e-03,-3.575208254314388850e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,1.600000000000000033e-01,9.516789994221770341e-03,-4.332180529609255815e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,1.600000000000000033e-01,1.038921221307004782e-02,-5.161898710058966666e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-01,1.600000000000000033e-01,1.126066422987951308e-02,-6.064258783359381677e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,1.600000000000000033e-01,1.212982070345165059e-02,-7.038909848416687043e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,1.600000000000000033e-01,1.299356251852201022e-02,-8.084899129880271373e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,1.600000000000000033e-01,1.384404419840011904e-02,-9.200081514720942488e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.499999999999999778e-01,1.600000000000000033e-01,1.465937568921983972e-02,-1.038070271050487436e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,1.600000000000000033e-01,1.536932392585291414e-02,-1.162333119323008673e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.499999999999999556e-01,1.600000000000000033e-01,1.543231672412056187e-02,-1.298011067894412063e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.600000000000000033e-01,1.690268037160209263e-02,-1.502694661640608109e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000278e-02,2.000000000000000111e-01,1.301922651653553012e-03,-7.030797851710242352e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000111e-01,2.754470498443742626e-03,-1.769921358017279706e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,2.000000000000000111e-01,4.217822913694319401e-03,-3.526137479598724384e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.000000000000000111e-01,5.677532310846838612e-03,-6.006678527151709107e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,2.000000000000000111e-01,7.133871039985623282e-03,-9.213932048175272130e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,2.000000000000000111e-01,8.588915646278718827e-03,-1.314743960698343782e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999778e-01,2.000000000000000111e-01,1.004372745855723788e-02,-1.780750032928827067e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,2.000000000000000111e-01,1.149858347954193540e-02,-2.319460568786622587e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,2.000000000000000111e-01,1.295346273251259811e-02,-2.930908002057087611e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,2.000000000000000111e-01,1.440821916237844912e-02,-3.615108451588414790e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,2.000000000000000111e-01,1.586257840046132253e-02,-4.372064016569261052e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000111e-01,1.731609739492337430e-02,-5.201749045577080260e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-01,2.000000000000000111e-01,1.876834281811579769e-02,-6.104059033383359145e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,2.000000000000000111e-01,2.022008356321538039e-02,-7.078684788766795299e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,2.000000000000000111e-01,2.167785365393773769e-02,-8.124873257365240742e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,2.000000000000000111e-01,2.316812907446539824e-02,-9.241154048112411312e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.499999999999999778e-01,2.000000000000000111e-01,2.477616186865740783e-02,-1.042566842652178777e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,2.000000000000000111e-01,2.674507429730790115e-02,-1.167903725188703529e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.499999999999999556e-01,2.000000000000000111e-01,2.979162600067666172e-02,-1.299471787906449904e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000111e-01,3.092157299822779690e-02,-1.570276674231356473e-01,1.000000000000000000e+00,0.000000000000000000e+00
